crop,NminStore,NminVeg,NmaxStore,NmaxVeg,PminStore,PminVeg,PmaxStore,PmaxVeg,KminStore,KminVeg,KmaxStore,KmaxVeg,Yzero,Nfix,leaf_att,stem_att,store_att,SeasonLength
Barley,0.011,0.0035,0.035,0.012,0.0016,0.0004,0.006,0.0025,0.003,0.007,0.008,0.028,200,0,450,550,800,135
Cassava,0.0022,0.008,0.009,0.017,0.0007,0.001,0.0024,0.005,0.0035,0.007,0.014,0.017,100,0,600,800,2200,360
Chickpea,0.018,0.0095,0.044,0.0185,0.0021,0.0006,0.0052,0.0032,0.0062,0.0105,0.013,0.031,100,0.75,175,225,320,120
Chillies,0.016,0.014,0.037,0.038,0.0024,0.0012,0.006,0.004,0.013,0.013,0.04,0.053,50,0,260,210,430,150
Cotton,0.015,0.009,0.0275,0.022,0.002,0.001,0.008,0.004,0.0085,0.008,0.031,0.022,100,0,250,400,400,200
Cowpea,0.03,0.008,0.047,0.027,0.002,0.001,0.006,0.004,0.009,0.01,0.018,0.03,100,0.75,330,180,380,75
Field bean,0.03,0.008,0.049,0.025,0.0026,0.0008,0.006,0.004,0.008,0.01,0.02,0.03,100,0.75,330,470,900,100
Groundnut,0.022,0.013,0.045,0.019,0.0012,0.001,0.0048,0.0019,0.006,0.0105,0.015,0.033,100,0.75,225,150,300,135
Jute,0.006,0.006,0.0175,0.0175,0.0014,0.0014,0.0034,0.0034,0.0093,0.0093,0.026,0.026,100,0,300,900,0,120
Kenaf,0.005,0.005,0.021,0.021,0.0009,0.0009,0.0027,0.0027,0.009,0.009,0.023,0.023,100,0,300,700,0,120
Lentil,0.023,0.0095,0.04,0.0265,0.0014,0.0009,0.0039,0.0037,0.0065,0.0105,0.0155,0.0315,100,0.75,400,450,340,135
Maize,0.0095,0.004,0.022,0.0125,0.0017,0.0004,0.0075,0.003,0.002,0.005,0.006,0.02,400,0,450,750,1200,120
Millet (bulrush),0.01,0.0032,0.03,0.0105,0.0014,0.0005,0.008,0.0025,0.003,0.007,0.008,0.028,200,0,100,320,250,90
Mungbean,0.0215,0.0095,0.041,0.042,0.001,0.0006,0.0034,0.0032,0.0063,0.0105,0.015,0.0315,100,0.75,200,300,300,120
Onion,0.009,0.014,0.026,0.034,0.0017,0.0016,0.01,0.0065,0.0075,0.008,0.017,0.045,100,0,300,60,500,135
Pigeonpea,0.021,0.007,0.034,0.02,0.0015,0.0007,0.0037,0.0017,0.006,0.003,0.011,0.01,100,0.75,430,550,450,130
Potato,0.0085,0.015,0.022,0.04,0.0011,0.0014,0.0055,0.01,0.011,0.013,0.028,0.038,100,0,250,150,1600,135
Rapeseed,0.015,0.0055,0.039,0.01,0.0026,0.0008,0.0056,0.002,0.007,0.0095,0.0165,0.019,100,0,340,500,250,135
Rice,0.009,0.0032,0.027,0.011,0.0011,0.0003,0.004,0.0016,0.0025,0.007,0.0075,0.028,200,0,700,550,1150,135
Sesame,0.015,0.005,0.03,0.01,0.002,0.0025,0.005,0.0075,0.011,0.012,0.019,0.024,100,0,200,200,400,120
Sorghum,0.01,0.0035,0.032,0.012,0.0014,0.0005,0.006,0.0025,0.0025,0.007,0.0075,0.028,200,0,450,400,600,120
Soyabean,0.035,0.007,0.056,0.022,0.0027,0.0011,0.008,0.0052,0.012,0.007,0.026,0.024,100,0.75,350,150,450,135
Sugarbeet,0.006,0.018,0.013,0.028,0.0008,0.0015,0.0018,0.0032,0.006,0.018,0.013,0.036,100,0,700,0,1600,170
Sugarcane,0.0022,0.0022,0.011,0.011,0.0007,0.0007,0.002,0.002,0.003,0.003,0.019,0.019,100,0,2000,2000,0,360
Sunflower,0.018,0.007,0.045,0.018,0.004,0.0008,0.01,0.0028,0.006,0.01,0.02,0.03,100,0,190,270,580,100
Sweetpotato,0.0028,0.016,0.015,0.03,0.0007,0.002,0.0022,0.0045,0.006,0.016,0.023,0.039,100,0,200,400,900,150
Tobacco,0.0105,0.0105,0.04,0.04,0.0015,0.0015,0.0052,0.0052,0.0095,0.0095,0.0475,0.0475,100,0,400,500,0,150
Wheat,0.011,0.003,0.031,0.0105,0.0016,0.0004,0.006,0.002,0.003,0.007,0.008,0.028,200,0,450,550,1000,135
